description,details,money,pub_name
"800 word opinion, editorial, column or essay",Little to no reporting; Cold pitch (no pre existing relationship),"$0.16
/word",connecticut bride
"800 word criticism, review, or arts/entertainment coverage",Medium reporting; Solicited pitch (editor asked you to pitch),"$0.03
/word",consequence of sound
1200 word,,"$0.06
/word",consequence of sound
2500 word,Medium reporting; Referral (you had a connection who connected you to the editor),"$0.03
/word",consequence of sound
800 word,,"$0.03
/word",consequence of sound
800 word blog post,,"$0.06
/word",constant content
1500 word feature,Heavy/Investigative reporting; Ongoing/pre existing relationship with editor or publication,"$1.00
/word",consumers digest
6000 word feature,Heavy/Investigative reporting; Assignment (editor came to you),"$0.43
/word",consumers digest
2600 word feature,Heavy/Investigative reporting; Assignment (editor came to you),"$1.00
/word",consumers digest
2600 word feature,Heavy/Investigative reporting; Assignment (editor came to you),"$1.00
/word",consumers digest
~8000 word feature,Medium reporting; Ongoing/pre existing relationship with editor or publication,"$0.11
/word",consumersearchcom
~375 word news story,Little to no reporting; Ongoing/pre existing relationship with editor or publication,"$0.57
/word",contently  trulia
"800 word criticism, review, or arts/entertainment coverage",Little to no reporting; Cold pitch (no pre existing relationship),"$0.19
/word",convivium
"900 word opinion, editorial, column or essay",Little to no reporting; Ongoing/pre existing relationship with editor or publication,"$0.17
/word",convivium
~375 word profile or interview,Medium reporting; Ongoing/pre existing relationship with editor or publication,"$0.21
/word",coolhunting
~750 word feature,Heavy/Investigative reporting; Ongoing/pre existing relationship with editor or publication,"$0.13
/word",coolhunting
152 word blog post,Little to no reporting; Referral (you had a connection who connected you to the editor),"$0.01
/word",cosmopolitan
"800 word criticism, review, or arts/entertainment coverage",Little to no reporting; Ongoing/pre existing relationship with editor or publication,"$2.08
/word",cosmopolitan
750 word fob,Medium reporting; Assignment (editor came to you),"$2.00
/word",cosmopolitan
"1200 word criticism, review, or arts/entertainment coverage",Little to no reporting; Cold pitch (no pre existing relationship),"$0.25
/word",cosmopolitan
"1100 word opinion, editorial, column or essay",Little to no reporting; Solicited pitch (editor asked you to pitch),"$1.82
/word",cosmopolitan
"~1500 word opinion, editorial, column or essay",Little to no reporting; Assignment (editor came to you),"$1.60
/word",cosmopolitan
"500 word opinion, editorial, column or essay",Little to no reporting; Cold pitch (no pre existing relationship),"$0.12
/word",cosmopolitan uk
500 word news story,Medium reporting; Ongoing/pre existing relationship with editor or publication,"$0.50
/word",cosmos magazine
300 word news story,Medium reporting; Assignment (editor came to you),"$0.80
/word",cosmos magazine
600 word profile or interview,Medium reporting; Cold pitch (no pre existing relationship),"$1.25
/word",cowboys  indians
2500 word feature,Medium reporting; Ongoing/pre existing relationship with editor or publication,"$0.10
/word",cracked
"1400 word opinion, editorial, column or essay",Medium reporting; Cold pitch (no pre existing relationship),"$0.11
/word",cracked
~750 word profile or interview,Heavy/Investigative reporting; Cold pitch (no pre existing relationship),"$0.04
/word",craft beer magazine
1000 word feature,Heavy/Investigative reporting; Referral (you had a connection who connected you to the editor),"$1.00
/word",crains chicago business
~750 word news story,Medium reporting; Assignment (editor came to you),"$0.37
/word",crains cleveland business
"600 word opinion, editorial, column or essay",Little to no reporting; Cold pitch (no pre existing relationship),"$0.00
/word",crains new york
1000 word feature,Medium reporting; Ongoing/pre existing relationship with editor or publication,"$0.10
/word",creative loafing atlanta
~5000 word profile or interview,Medium reporting; Ongoing/pre existing relationship with editor or publication,"$0.01
/word",creative screenwriting
~750 word news story,Medium reporting; Ongoing/pre existing relationship with editor or publication,"$0.07
/word",creators news
1200 word feature,Little to no reporting; Solicited pitch (editor asked you to pitch),"$0.45
/word",crixeo
1200 word,,"$0.35
/word",crixeo
"~750 word opinion, editorial, column or essay",Medium reporting; Solicited pitch (editor asked you to pitch),,crixeo
1000 word news story,Medium reporting; Cold pitch (no pre existing relationship),"$0.25
/word",crosscut
1666 word news story,Heavy/Investigative reporting; Cold pitch (no pre existing relationship),"$0.12
/word",crosscut
~750 word news story,Medium reporting; Ongoing/pre existing relationship with editor or publication,"$0.17
/word",crosscut
3000 word fiction,,"$0.05
/word",crossed genres
"~750 word opinion, editorial, column or essay",Little to no reporting; Cold pitch (no pre existing relationship),"$0.07
/word",csm modern parenting
~3000 word feature,Medium reporting; Ongoing/pre existing relationship with editor or publication,"$0.25
/word",cuepoint
1000 word blog post,Medium reporting; Ongoing/pre existing relationship with editor or publication,"$0.03
/word",culture trip
1000 word blog post,Little to no reporting; Ongoing/pre existing relationship with editor or publication,"$0.05
/word",culture trip
1000 word blog post,Little to no reporting; Other,"$0.00
/word",culturess
4000 word feature,Heavy/Investigative reporting; Referral (you had a connection who connected you to the editor),"$0.25
/word",curbed
4000 word,,"$0.17
/word",curbed
3000 word profile or interview,Little to no reporting; Cold pitch (no pre existing relationship),"$0.05
/word",current affairs
800 word profile or interview,Medium reporting; Ongoing/pre existing relationship with editor or publication,"$15.00
/word",curve magazine
450 word,,"$1.00
/word",d magazine
450 word fob,Little to no reporting; Ongoing/pre existing relationship with editor or publication,"$1.00
/word",d magazine
500 word,,"$0.05
/word",daily detroit
600 word profile or interview,Medium reporting,"$0.88
/word",daily mail
"~1500 word opinion, editorial, column or essay",Little to no reporting; Ongoing/pre existing relationship with editor or publication,"$1.87
/word",daily mail
"750 word criticism, review, or arts/entertainment coverage",Medium reporting; Ongoing/pre existing relationship with editor or publication,"$0.07
/word",daily serving
750 word news story,Medium reporting; Ongoing/pre existing relationship with editor or publication,"$0.35
/word",daily telegraph
629 word feature,Heavy/Investigative reporting; Cold pitch (no pre existing relationship),"$0.32
/word",daily yonder
600 word fob,Medium reporting; Ongoing/pre existing relationship with editor or publication,"$0.17
/word",dallas voice
1200 word profile or interview,Medium reporting; Ongoing/pre existing relationship with editor or publication,"$0.25
/word",dame magazine
1200 word,,"$0.25
/word",dame magazine
1200 word feature,Medium reporting; Ongoing/pre existing relationship with editor or publication,"$0.25
/word",dame magazine
1600 word profile or interview,Medium reporting; Cold pitch (no pre existing relationship),"$0.09
/word",dame magazine
"~1500 word opinion, editorial, column or essay",Little to no reporting; Ongoing/pre existing relationship with editor or publication,"$0.13
/word",dame magazine
700 word profile or interview,Medium reporting; Ongoing/pre existing relationship with editor or publication,"$0.12
/word",dance international
,,,dance retailer news
~3000 word feature,Medium reporting; Assignment (editor came to you),"$0.02
/word",darling magazine
"800 word opinion, editorial, column or essay",Medium reporting; Ongoing/pre existing relationship with editor or publication,"$0.14
/word",dazed
~750 word news story,Medium reporting; Ongoing/pre existing relationship with editor or publication,"$0.10
/word",dazed
"~1500 word opinion, editorial, column or essay",Medium reporting; Submission/spec (piece was written prior and then submitted for publication),"$0.15
/word",dazed
2000 word feature,,"$0.15
/word",dazed
2000 word profile or interview,,"$0.10
/word",dazed
1000 word profile or interview,,"$0.13
/word",dazed
500 word profile or interview,,"$0.00
/word",dazed
810 word news story,Medium reporting; Cold pitch (no pre existing relationship),"$0.22
/word",dc inno
~1500 word feature,Medium reporting; Ongoing/pre existing relationship with editor or publication,"$0.00
/word",de magazine or design exchange magazine
~1500 word news story,Little to no reporting; Cold pitch (no pre existing relationship),"$0.10
/word",deadspin
~1500 word profile or interview,Medium reporting; Cold pitch (no pre existing relationship),"$0.10
/word",deadspin
news story,,"$200
flat",deadspin
1700 word feature,,"$0.06
/word",deadspin
500 word blog post,Little to no reporting; Assignment (editor came to you),"$0.20
/word",debtcom
~750 word profile or interview,Medium reporting; Cold pitch (no pre existing relationship),"$0.20
/word",deep south magazine
3500 word feature,Medium reporting; Referral (you had a connection who connected you to the editor),"$0.29
/word",departures
300 word blog post,,"$0.42
/word",departures
1300 word,,"$0.62
/word",departures
1000 word profile or interview,Medium reporting; Ongoing/pre existing relationship with editor or publication,"$0.29
/word",diffords guide
717 word profile or interview,Medium reporting; Referral (you had a connection who connected you to the editor),"$0.21
/word",dig boston
1500 word feature,Heavy/Investigative reporting; Cold pitch (no pre existing relationship),"$0.00
/word",dirt rag magazine
1500 word feature,Heavy/Investigative reporting; Cold pitch (no pre existing relationship),"$0.00
/word",dirt rag magazine
1000 word blog post,Heavy/Investigative reporting; Cold pitch (no pre existing relationship),"$0.15
/word",discover
1000 word news story,Heavy/Investigative reporting; Assignment (editor came to you),"$0.30
/word",discover
1481 word feature,Heavy/Investigative reporting; Ongoing/pre existing relationship with editor or publication,"$0.07
/word",discover
958 word news story,Medium reporting; Cold pitch (no pre existing relationship),"$0.52
/word",discover
300 word fob,,"$1.67
/word",discover
1200 word other,Medium reporting; Cold pitch (no pre existing relationship),"$1.25
/word",discover
~1500 word feature,Medium reporting; Ongoing/pre existing relationship with editor or publication,"$1.67
/word",discover
500 word feature,Medium reporting; Assignment (editor came to you),"$0.00
/word",disfunkshion magazine
"1000 word opinion, editorial, column or essay",Little to no reporting; Ongoing/pre existing relationship with editor or publication,"$0.18
/word",diva
1000 word profile or interview,Medium reporting; Assignment (editor came to you),"$0.04
/word",diy magazine
~750 word news story,Medium reporting; Cold pitch (no pre existing relationship),"$0.13
/word",dj tech tools
~375 word news story,Medium reporting; Ongoing/pre existing relationship with editor or publication,"$0.40
/word",dnainfocom
~1500 word fob,Little to no reporting; Ongoing/pre existing relationship with editor or publication,"$0.03
/word",dogstercom
500 word,,"$1.00
/word",domino
800 word blog post,Medium reporting; Ongoing/pre existing relationship with editor or publication,"$0.09
/word",domino
700 word feature,Little to no reporting; Assignment (editor came to you),"$0.36
/word",domino
950 word,,"$0.26
/word",domino
500 word feature,Little to no reporting; Ongoing/pre existing relationship with editor or publication,"$2.00
/word",domino
~1150 word,,"$0.06
/word",domus europe
1000 word feature,Little to no reporting; Solicited pitch (editor asked you to pitch),"$1.00
/word",dorado
750 word fob,Medium reporting; Referral (you had a connection who connected you to the editor),"$1.07
/word",draft magazine
400 word fob,,"$0.75
/word",draft magazine
~750 word news story,Medium reporting; Cold pitch (no pre existing relationship),"$0.10
/word",dreamchrono
"700 word opinion, editorial, column or essay",Medium reporting; Assignment (editor came to you),"$1.00
/word",dujour
~3000 word profile or interview,Medium reporting; Ongoing/pre existing relationship with editor or publication,"$0.01
/word",dumpling magazine
,,,dungeon  dragons magazine wizards of the coast
750 word profile or interview,Medium reporting; Assignment (editor came to you),"$1.00
/word",dwell
,,,dwell
"800 word criticism, review, or arts/entertainment coverage",Little to no reporting; Ongoing/pre existing relationship with editor or publication,"$0.13
/word",earth island journal
1200 word news story,Medium reporting; Cold pitch (no pre existing relationship),"$0.08
/word",earth island journal
1500 word news story,Medium reporting; Cold pitch (no pre existing relationship),"$0.07
/word",earth island journal
,,,east bay express
,,,east bay express
1000 word feature,Medium reporting; Ongoing/pre existing relationship with editor or publication,"$0.45
/word",eater
1200 word fob,Medium reporting; Ongoing/pre existing relationship with editor or publication,"$0.23
/word",eater
3000 word feature,Heavy/Investigative reporting; Assignment (editor came to you),"$0.25
/word",eater
"~3000 word opinion, editorial, column or essay",Medium reporting; Cold pitch (no pre existing relationship),"$0.07
/word",eater
~1500 word fob,Medium reporting; Cold pitch (no pre existing relationship),"$0.20
/word",eater
~3000 word feature,Medium reporting; Cold pitch (no pre existing relationship),"$0.67
/word",eater
~750 word profile or interview,Medium reporting; Assignment (editor came to you),"$0.03
/word",eater atlanta
300 word profile or interview,Medium reporting; Cold pitch (no pre existing relationship),"$1.00
/word",eating well
2000 word,,"$0.75
/word",ebony
"750 word opinion, editorial, column or essay",Little to no reporting; Ongoing/pre existing relationship with editor or publication,"$0.20
/word",ebony
1000 word profile or interview,Medium reporting; Ongoing/pre existing relationship with editor or publication,"$0.10
/word",ebony
750 word profile or interview,Medium reporting; Ongoing/pre existing relationship with editor or publication,"$1.33
/word",ebony
1200 word other,Medium reporting; Ongoing/pre existing relationship with editor or publication,"$0.83
/word",ebony
12000 word,,"$0.08
/word",ebony
"1500 word opinion, editorial, column or essay",Medium reporting; Assignment (editor came to you),"$0.87
/word",ebony
"500 word opinion, editorial, column or essay",Little to no reporting; Assignment (editor came to you),"$0.00
/word",ebony
"~750 word opinion, editorial, column or essay",Little to no reporting; Ongoing/pre existing relationship with editor or publication,"$0.27
/word",ebony
750 word news story,,"$0.10
/word",ebony
~375 word news story,Cold pitch (no pre existing relationship),"$0.00
/word",ecowatch
,,,edible dc
"1200 word opinion, editorial, column or essay",Ongoing/pre existing relationship with editor or publication,"$0.09
/word",el espaol
"700 word opinion, editorial, column or essay",Little to no reporting; Ongoing/pre existing relationship with editor or publication,"$0.31
/word",el pais
600 word,,"$0.07
/word",el pais
600 word,,"$0.05
/word",el pais
800 word,,"$0.09
/word",el pais
~1550 word blog post,,"$0.03
/word",el pais
"800 word opinion, editorial, column or essay",Little to no reporting; Referral (you had a connection who connected you to the editor),"$0.16
/word",el universo
"1200 word opinion, editorial, column or essay",Little to no reporting; Cold pitch (no pre existing relationship),"$0.05
/word",electric literature
"1800 word opinion, editorial, column or essay",Little to no reporting; Cold pitch (no pre existing relationship),"$0.03
/word",electric literature
2500 word other,Little to no reporting; Submission/spec (piece was written prior and then submitted for publication),"$0.02
/word",electric literature
169 word other,Little to no reporting; Cold pitch (no pre existing relationship),"$0.24
/word",electric literature
"1800 word criticism, review, or arts/entertainment coverage",Little to no reporting; Cold pitch (no pre existing relationship),"$0.01
/word",electric literature
fiction,,"$300
flat",electric literature
"~750 word opinion, editorial, column or essay",Medium reporting; Cold pitch (no pre existing relationship),"$0.21
/word",electronic sound
"1000 word opinion, editorial, column or essay",Medium reporting; Ongoing/pre existing relationship with editor or publication,"$0.14
/word",elephant
800 word feature,Medium reporting; Ongoing/pre existing relationship with editor or publication,"$0.38
/word",elle
1000 word fob,Medium reporting; Assignment (editor came to you),"$0.25
/word",elle
800 word feature,Medium reporting; Referral (you had a connection who connected you to the editor),"$0.38
/word",elle
news story,,"$75
flat",elle
blog post,,"$40
flat",elle
,,,emusic
300 word,,"$1.25
/word",endless vacation
2300 word profile or interview,Heavy/Investigative reporting; Ongoing/pre existing relationship with editor or publication,"$0.20
/word",engadget
150 word news story,Little to no reporting; Ongoing/pre existing relationship with editor or publication,"$0.15
/word",engadget
900 word feature,Little to no reporting; Cold pitch (no pre existing relationship),"$0.23
/word",engadget
900 word fob,Heavy/Investigative reporting; Assignment (editor came to you),"$1.50
/word",entrepreneur magazine
557 word profile or interview,Medium reporting; Cold pitch (no pre existing relationship),"$0.00
/word",entrepreneur magazine
1000 word,,"$0.00
/word",entrepreneur magazine
3000 word feature,Medium reporting; Ongoing/pre existing relationship with editor or publication,"$0.30
/word",erosion control magazine
"1500 word opinion, editorial, column or essay",Ongoing/pre existing relationship with editor or publication,"$0.07
/word",esglobal
"800 word opinion, editorial, column or essay",Little to no reporting; Cold pitch (no pre existing relationship),"$0.16
/word",esme
800 word,,"$0.13
/word",espn esports
300 word,,"$0.00
/word",espn esports
600 word feature,Medium reporting; Ongoing/pre existing relationship with editor or publication,"$0.17
/word",espn esports
,,,espn the magazine
~3000 word feature,Medium reporting; Cold pitch (no pre existing relationship),"$0.17
/word",esquire
~750 word profile or interview,Heavy/Investigative reporting; Cold pitch (no pre existing relationship),"$0.20
/word",esquire
3200 word feature,Heavy/Investigative reporting; Cold pitch (no pre existing relationship),"$0.16
/word",esquire online
2314 word profile or interview,Medium reporting; Cold pitch (no pre existing relationship),"$0.26
/word",esquire online
feature,,"$50
flat",esquire online
"4000 word opinion, editorial, column or essay",Little to no reporting; Other,"$0.06
/word",event
"800 word criticism, review, or arts/entertainment coverage",Medium reporting; Referral (you had a connection who connected you to the editor),"$0.13
/word",everfest
1000 word profile or interview,Medium reporting; Assignment (editor came to you),"$0.15
/word",everfest
1000 word,,"$0.15
/word",everfest
"1800 word opinion, editorial, column or essay",Medium reporting; Cold pitch (no pre existing relationship),"$0.04
/word",everyday feminism
"1300 word opinion, editorial, column or essay",Medium reporting; Ongoing/pre existing relationship with editor or publication,"$0.08
/word",everyday feminism
800 word feature,Medium reporting; Ongoing/pre existing relationship with editor or publication,"$0.19
/word",excelle sports
2000 word feature,Medium reporting; Solicited pitch (editor asked you to pitch),"$0.10
/word",excelle sports
2200 word feature,Heavy/Investigative reporting; Ongoing/pre existing relationship with editor or publication,"$0.07
/word",excelle sports
800 word profile or interview,Medium reporting; Solicited pitch (editor asked you to pitch),"$0.19
/word",excelle sports
"400 word criticism, review, or arts/entertainment coverage",Little to no reporting; Solicited pitch (editor asked you to pitch),"$0.04
/word",exclaim
"~125 word criticism, review, or arts/entertainment converage",Little to no reporting; Cold pitch (no pre existing relationship),"$0.00
/word",exclaim
1000 word,,"$0.10
/word",exeunt magazine
2500 word feature,Medium reporting; Assignment (editor came to you),"$1.00
/word",experience life
500 word blog post,Little to no reporting; Cold pitch (no pre existing relationship),"$0.50
/word",extra crispy
800 word blog post,Little to no reporting; Ongoing/pre existing relationship with editor or publication,"$0.50
/word",extra crispy
"800 word opinion, editorial, column or essay",Little to no reporting; Cold pitch (no pre existing relationship),"$0.50
/word",extra crispy
"1000 word opinion, editorial, column or essay",Little to no reporting; Cold pitch (no pre existing relationship),"$0.40
/word",extra crispy
800 word news story,Medium reporting; Ongoing/pre existing relationship with editor or publication,"$0.50
/word",extra crispy
"1000 word opinion, editorial, column or essay",Little to no reporting; Solicited pitch (editor asked you to pitch),"$0.40
/word",extra crispy
800 word feature,Little to no reporting; Cold pitch (no pre existing relationship),"$0.50
/word",extra crispy
1500 word feature,Medium reporting; Solicited pitch (editor asked you to pitch),"$0.50
/word",extra crispy
800 word,,"$0.38
/word",extra crispy
~3000 word profile or interview,Medium reporting; Ongoing/pre existing relationship with editor or publication,"$0.07
/word",fact magazine
~750 word profile or interview,Medium reporting; Cold pitch (no pre existing relationship),"$1.33
/word",family circle
800 word,,"$0.04
/word",family fun canada
"~375 word criticism, review, or arts/entertainment converage",Little to no reporting; Ongoing/pre existing relationship with editor or publication,"$0.05
/word",fanbread
"1084 word opinion, editorial, column or essay",Little to no reporting; Ongoing/pre existing relationship with editor or publication,"$0.05
/word",fansided
300 word news story,Little to no reporting; Ongoing/pre existing relationship with editor or publication,"$0.17
/word",fashion unfiltered
1500 word feature,Medium reporting; Cold pitch (no pre existing relationship),"$0.05
/word",fashionista
996 word fob,Little to no reporting; Referral (you had a connection who connected you to the editor),"$0.20
/word",fashionista
800 word fob,Medium reporting; Referral (you had a connection who connected you to the editor),"$0.56
/word",fashionista
1000 word,,"$0.20
/word",fashionista
1458 word news story,Heavy/Investigative reporting; Cold pitch (no pre existing relationship),"$0.27
/word",fast company
1200 word profile or interview,Medium reporting; Cold pitch (no pre existing relationship),"$0.33
/word",fast company
,,,fast company
800 word feature,Heavy/Investigative reporting; Cold pitch (no pre existing relationship),"$0.50
/word",fastcompanycom
500 word news story,Medium reporting; Cold pitch (no pre existing relationship),"$0.22
/word",feedsyndicate
~375 word news story,Medium reporting; Ongoing/pre existing relationship with editor or publication,"$0.11
/word",feedsyndicate
800 word other,,"$0.03
/word",femsplain
800 word,,"$0.03
/word",femsplain
"~750 word opinion, editorial, column or essay",Little to no reporting; Ongoing/pre existing relationship with editor or publication,"$0.03
/word",femsplain
"~750 word opinion, editorial, column or essay",Little to no reporting; Ongoing/pre existing relationship with editor or publication,"$0.03
/word",femsplain
"1000 word opinion, editorial, column or essay",Little to no reporting; Cold pitch (no pre existing relationship),"$0.03
/word",femsplain
750 word profile or interview,Medium reporting; Assignment (editor came to you),"$0.33
/word",fender
"750 word opinion, editorial, column or essay",Medium reporting; Assignment (editor came to you),"$0.17
/word",fierce by mit
900 word other,Medium reporting; Cold pitch (no pre existing relationship),"$0.19
/word",fierce by mit
~750 word fob,Little to no reporting; Other,"$0.05
/word",fiftyisthenewfiftycom
1000 word feature,,"$0.05
/word",fightland
"~750 word criticism, review, or arts/entertainment converage",Little to no reporting; Ongoing/pre existing relationship with editor or publication,"$0.33
/word",film comment
"800 word opinion, editorial, column or essay",Little to no reporting; Other,"$0.00
/word",film school rejects
~750 word news story,Medium reporting; Ongoing/pre existing relationship with editor or publication,"$0.33
/word",financial post
1800 word feature,Medium reporting; Ongoing/pre existing relationship with editor or publication,"$0.44
/word",fine gardening
~1500 word feature,Medium reporting; Ongoing/pre existing relationship with editor or publication,"$1.60
/word",fitness
1300 word feature,Medium reporting; Ongoing/pre existing relationship with editor or publication,"$0.50
/word",fivethirtyeight
1500 word feature,Medium reporting; Cold pitch (no pre existing relationship),"$0.33
/word",fivethirtyeight
2500 word feature,Heavy/Investigative reporting; Cold pitch (no pre existing relationship),"$0.40
/word",flamingo
1318 word feature,Little to no reporting; Cold pitch (no pre existing relationship),"$0.29
/word",flare
"~375 word opinion, editorial, column or essay",Little to no reporting; Cold pitch (no pre existing relationship),"$0.80
/word",flare
"1000 word opinion, editorial, column or essay",Heavy/Investigative reporting; Solicited pitch (editor asked you to pitch),"$0.25
/word",flash art
"500 word criticism, review, or arts/entertainment coverage",Medium reporting; Cold pitch (no pre existing relationship),"$0.10
/word",flash art
~750 word profile or interview,Medium reporting; Assignment (editor came to you),"$0.04
/word",flaunt magazine
~1500 word profile or interview,Medium reporting; Assignment (editor came to you),"$0.00
/word",flaunt magazine
850 word profile or interview,Medium reporting; Cold pitch (no pre existing relationship),"$0.15
/word",flood magazine
700 word fob,Medium reporting; Assignment (editor came to you),"$0.07
/word",flood magazine
1200 word blog post,Little to no reporting; Solicited pitch (editor asked you to pitch),"$0.06
/word",fluentu
800 word profile or interview,Medium reporting; Referral (you had a connection who connected you to the editor),"$0.20
/word",focus middle tennessee
1275 word blog post,Little to no reporting; Cold pitch (no pre existing relationship),"$0.12
/word",fodors
"1250 word opinion, editorial, column or essay",Little to no reporting; Cold pitch (no pre existing relationship),"$0.32
/word",folks
750 word feature,Medium reporting; Cold pitch (no pre existing relationship),"$0.20
/word",food 52
~750 word fob,Medium reporting; Cold pitch (no pre existing relationship),"$0.07
/word",food republic
490 word news story,Medium reporting; Ongoing/pre existing relationship with editor or publication,"$0.10
/word",foodbeast
1000 word feature,Medium reporting; Ongoing/pre existing relationship with editor or publication,"$0.20
/word",for her by aleteia
3000 word profile or interview,Heavy/Investigative reporting; Ongoing/pre existing relationship with editor or publication,"$2.00
/word",forbes
8000 word,,"$0.69
/word",foreign policy
1800 word feature,Heavy/Investigative reporting; Ongoing/pre existing relationship with editor or publication,"$0.38
/word",foreign policy
800 word news story,Heavy/Investigative reporting; Cold pitch (no pre existing relationship),"$0.38
/word",foreign policy
566 word feature,,"$0.37
/word",foreign policy
2000 word,,"$1.00
/word",foreign policy
"1500 word opinion, editorial, column or essay",Medium reporting; Ongoing/pre existing relationship with editor or publication,"$0.20
/word",foreign policy
~1500 word news story,Medium reporting; Ongoing/pre existing relationship with editor or publication,"$0.17
/word",foreign policy
~1500 word news story,Medium reporting; Cold pitch (no pre existing relationship),"$0.17
/word",foreign policy
~1500 word news story,Medium reporting; Solicited pitch (editor asked you to pitch),"$0.17
/word",foreign policy
1000 word feature,,"$0.20
/word",foreign policy
~1400 word,,"$0.18
/word",foreign policy
1814 word other,Submission/spec (piece was written prior and then submitted for publication),"$0.05
/word",forge literary magazine
3000 word feature,Medium reporting; Submission/spec (piece was written prior and then submitted for publication),"$0.02
/word",forge literary magazine
3000 word,,"$0.02
/word",forge literary magazine
1300 word,,"$0.04
/word",forge literary magazine
~750 word feature,Medium reporting; Ongoing/pre existing relationship with editor or publication,"$0.67
/word",fortunecom
"600 word opinion, editorial, column or essay",Medium reporting; Referral (you had a connection who connected you to the editor),"$0.05
/word",foss force
"~1500 word opinion, editorial, column or essay",Heavy/Investigative reporting; Cold pitch (no pre existing relationship),"$0.17
/word",fox news  travel
593 word feature,Medium reporting; Assignment (editor came to you),"$0.34
/word",free speech radio news
~750 word news story,Medium reporting; Cold pitch (no pre existing relationship),"$0.13
/word",freemuseorgglobal voices
"1000 word opinion, editorial, column or essay",Medium reporting; Assignment (editor came to you),"$0.40
/word",frieze
"1400 word opinion, editorial, column or essay",Medium reporting; Ongoing/pre existing relationship with editor or publication,"$0.31
/word",frieze
1500 word profile or interview,Medium reporting; Ongoing/pre existing relationship with editor or publication,"$0.24
/word",frieze
"opinion, editorial, column or essay",,"$30
flat",fugue
"1500 word criticism, review, or arts/entertainment coverage",Medium reporting; Referral (you had a connection who connected you to the editor),"$0.00
/word",full stop
"1800 word opinion, editorial, column or essay",Little to no reporting; Cold pitch (no pre existing relationship),"$0.00
/word",full stop
2800 word feature,Medium reporting; Submission/spec (piece was written prior and then submitted for publication),"$0.04
/word",full stop
"~1500 word criticism, review, or arts/entertainment converage",Little to no reporting; Submission/spec (piece was written prior and then submitted for publication),"$0.10
/word",full stop
"~3000 word criticism, review, or arts/entertainment converage",Little to no reporting; Solicited pitch (editor asked you to pitch),"$0.05
/word",full stop
"~750 word opinion, editorial, column or essay",Little to no reporting; Ongoing/pre existing relationship with editor or publication,"$0.08
/word",funny times
700 word,,"$0.36
/word",fusetv
1300 word feature,Medium reporting; Referral (you had a connection who connected you to the editor),"$0.38
/word",fusion
1200 word feature,Little to no reporting; Cold pitch (no pre existing relationship),"$0.29
/word",fusion
1000 word news story,Medium reporting; Referral (you had a connection who connected you to the editor),"$0.30
/word",fusion
6000 word feature,Heavy/Investigative reporting; Referral (you had a connection who connected you to the editor),"$0.25
/word",fusion
1400 word feature,Medium reporting; Ongoing/pre existing relationship with editor or publication,"$0.25
/word",fusion
1000 word profile or interview,Medium reporting; Cold pitch (no pre existing relationship),"$0.00
/word",galore
1500 word fiction,Submission/spec (piece was written prior and then submitted for publication),"$0.10
/word",gamut
135 word poetry,Little to no reporting; Referral (you had a connection who connected you to the editor),"$0.19
/word",gamut
3000 word fiction,Submission/spec (piece was written prior and then submitted for publication),"$0.10
/word",gamut
1100 word feature,Little to no reporting; Assignment (editor came to you),"$0.55
/word",garage vice
"~750 word opinion, editorial, column or essay",Little to no reporting; Cold pitch (no pre existing relationship),"$0.33
/word",gawker
"~750 word opinion, editorial, column or essay",Little to no reporting; Cold pitch (no pre existing relationship),"$0.33
/word",gawker
1500 word feature,,"$0.17
/word",gawker
~375 word news story,,"$1.07
/word",gawker
"criticism, review, or arts/entertainment converage",,"$200
flat",gawker
300 word,,"$1.33
/word",gawker
900 word other,Little to no reporting; Ongoing/pre existing relationship with editor or publication,"$0.05
/word",geek  sundry
910 word feature,Heavy/Investigative reporting; Solicited pitch (editor asked you to pitch),"$0.22
/word",geist magazine
"~3000 word criticism, review, or arts/entertainment converage",Little to no reporting; Cold pitch (no pre existing relationship),"$0.10
/word",getabstract
800 word,,"$0.19
/word",girlboss
600 word feature,Medium reporting; Referral (you had a connection who connected you to the editor),"$0.20
/word",girlboss
800 word fob,Medium reporting; Ongoing/pre existing relationship with editor or publication,"$0.00
/word",girls life
300 word fob,Medium reporting; Assignment (editor came to you),"$0.00
/word",girls life
1000 word feature,Little to no reporting; Ongoing/pre existing relationship with editor or publication,"$0.50
/word",girls life
~750 word fob,Little to no reporting; Cold pitch (no pre existing relationship),"$0.47
/word",girls life
~1500 word feature,Little to no reporting; Ongoing/pre existing relationship with editor or publication,"$0.33
/word",girls life
2000 word feature,Medium reporting; Cold pitch (no pre existing relationship),"$0.21
/word",gizmodo
3000 word feature,Medium reporting; Ongoing/pre existing relationship with editor or publication,"$0.13
/word",gizmodo
~750 word news story,Medium reporting; Ongoing/pre existing relationship with editor or publication,"$0.33
/word",gizmodo
"1300 word opinion, editorial, column or essay",Medium reporting; Assignment (editor came to you),"$0.31
/word",glamour
"1200 word opinion, editorial, column or essay",Medium reporting; Ongoing/pre existing relationship with editor or publication,"$0.17
/word",glamour
"1200 word opinion, editorial, column or essay",Medium reporting; Referral (you had a connection who connected you to the editor),"$0.23
/word",glamour
800 word feature,Medium reporting; Referral (you had a connection who connected you to the editor),"$0.25
/word",glamour
