description,details,money,pub_name,rate,type
500 word blog post,Little to no reporting; Cold pitch (no pre existing relationship),"$0.50
/word",extra crispy,0.5,word
800 word blog post,Little to no reporting; Ongoing/pre existing relationship with editor or publication,"$0.50
/word",extra crispy,0.5,word
"800 word opinion, editorial, column or essay",Little to no reporting; Cold pitch (no pre existing relationship),"$0.50
/word",extra crispy,0.5,word
"1000 word opinion, editorial, column or essay",Little to no reporting; Cold pitch (no pre existing relationship),"$0.40
/word",extra crispy,0.4,word
800 word news story,Medium reporting; Ongoing/pre existing relationship with editor or publication,"$0.50
/word",extra crispy,0.5,word
"1000 word opinion, editorial, column or essay",Little to no reporting; Solicited pitch (editor asked you to pitch),"$0.40
/word",extra crispy,0.4,word
800 word feature,Little to no reporting; Cold pitch (no pre existing relationship),"$0.50
/word",extra crispy,0.5,word
1500 word feature,Medium reporting; Solicited pitch (editor asked you to pitch),"$0.50
/word",extra crispy,0.5,word
800 word,,"$0.38
/word",extra crispy,0.38,word
~3000 word profile or interview,Medium reporting; Ongoing/pre existing relationship with editor or publication,"$0.07
/word",fact magazine,0.07,word
~750 word profile or interview,Medium reporting; Cold pitch (no pre existing relationship),"$1.33
/word",family circle,1.33,word
800 word,,"$0.04
/word",family fun canada,0.04,word
"~375 word criticism, review, or arts/entertainment converage",Little to no reporting; Ongoing/pre existing relationship with editor or publication,"$0.05
/word",fanbread,0.05,word
"1084 word opinion, editorial, column or essay",Little to no reporting; Ongoing/pre existing relationship with editor or publication,"$0.05
/word",fansided,0.05,word
300 word news story,Little to no reporting; Ongoing/pre existing relationship with editor or publication,"$0.17
/word",fashion unfiltered,0.17,word
1500 word feature,Medium reporting; Cold pitch (no pre existing relationship),"$0.05
/word",fashionista,0.05,word
996 word fob,Little to no reporting; Referral (you had a connection who connected you to the editor),"$0.20
/word",fashionista,0.2,word
800 word fob,Medium reporting; Referral (you had a connection who connected you to the editor),"$0.56
/word",fashionista,0.56,word
1000 word,,"$0.20
/word",fashionista,0.2,word
1458 word news story,Heavy/Investigative reporting; Cold pitch (no pre existing relationship),"$0.27
/word",fast company,0.27,word
1200 word profile or interview,Medium reporting; Cold pitch (no pre existing relationship),"$0.33
/word",fast company,0.33,word
800 word feature,Heavy/Investigative reporting; Cold pitch (no pre existing relationship),"$0.50
/word",fastcompanycom,0.5,word
500 word news story,Medium reporting; Cold pitch (no pre existing relationship),"$0.22
/word",feedsyndicate,0.22,word
~375 word news story,Medium reporting; Ongoing/pre existing relationship with editor or publication,"$0.11
/word",feedsyndicate,0.11,word
800 word other,,"$0.03
/word",femsplain,0.03,word
800 word,,"$0.03
/word",femsplain,0.03,word
"~750 word opinion, editorial, column or essay",Little to no reporting; Ongoing/pre existing relationship with editor or publication,"$0.03
/word",femsplain,0.03,word
"~750 word opinion, editorial, column or essay",Little to no reporting; Ongoing/pre existing relationship with editor or publication,"$0.03
/word",femsplain,0.03,word
"1000 word opinion, editorial, column or essay",Little to no reporting; Cold pitch (no pre existing relationship),"$0.03
/word",femsplain,0.03,word
750 word profile or interview,Medium reporting; Assignment (editor came to you),"$0.33
/word",fender,0.33,word
"750 word opinion, editorial, column or essay",Medium reporting; Assignment (editor came to you),"$0.17
/word",fierce by mit,0.17,word
900 word other,Medium reporting; Cold pitch (no pre existing relationship),"$0.19
/word",fierce by mit,0.19,word
~750 word fob,Little to no reporting; Other,"$0.05
/word",fiftyisthenewfiftycom,0.05,word
1000 word feature,,"$0.05
/word",fightland,0.05,word
"~750 word criticism, review, or arts/entertainment converage",Little to no reporting; Ongoing/pre existing relationship with editor or publication,"$0.33
/word",film comment,0.33,word
"800 word opinion, editorial, column or essay",Little to no reporting; Other,"$0.00
/word",film school rejects,0.0,word
~750 word news story,Medium reporting; Ongoing/pre existing relationship with editor or publication,"$0.33
/word",financial post,0.33,word
1800 word feature,Medium reporting; Ongoing/pre existing relationship with editor or publication,"$0.44
/word",fine gardening,0.44,word
~1500 word feature,Medium reporting; Ongoing/pre existing relationship with editor or publication,"$1.60
/word",fitness,1.6,word
1300 word feature,Medium reporting; Ongoing/pre existing relationship with editor or publication,"$0.50
/word",fivethirtyeight,0.5,word
1500 word feature,Medium reporting; Cold pitch (no pre existing relationship),"$0.33
/word",fivethirtyeight,0.33,word
2500 word feature,Heavy/Investigative reporting; Cold pitch (no pre existing relationship),"$0.40
/word",flamingo,0.4,word
1318 word feature,Little to no reporting; Cold pitch (no pre existing relationship),"$0.29
/word",flare,0.29,word
"~375 word opinion, editorial, column or essay",Little to no reporting; Cold pitch (no pre existing relationship),"$0.80
/word",flare,0.8,word
"1000 word opinion, editorial, column or essay",Heavy/Investigative reporting; Solicited pitch (editor asked you to pitch),"$0.25
/word",flash art,0.25,word
"500 word criticism, review, or arts/entertainment coverage",Medium reporting; Cold pitch (no pre existing relationship),"$0.10
/word",flash art,0.1,word
~750 word profile or interview,Medium reporting; Assignment (editor came to you),"$0.04
/word",flaunt magazine,0.04,word
~1500 word profile or interview,Medium reporting; Assignment (editor came to you),"$0.00
/word",flaunt magazine,0.0,word
850 word profile or interview,Medium reporting; Cold pitch (no pre existing relationship),"$0.15
/word",flood magazine,0.15,word
700 word fob,Medium reporting; Assignment (editor came to you),"$0.07
/word",flood magazine,0.07,word
1200 word blog post,Little to no reporting; Solicited pitch (editor asked you to pitch),"$0.06
/word",fluentu,0.06,word
800 word profile or interview,Medium reporting; Referral (you had a connection who connected you to the editor),"$0.20
/word",focus middle tennessee,0.2,word
1275 word blog post,Little to no reporting; Cold pitch (no pre existing relationship),"$0.12
/word",fodors,0.12,word
"1250 word opinion, editorial, column or essay",Little to no reporting; Cold pitch (no pre existing relationship),"$0.32
/word",folks,0.32,word
750 word feature,Medium reporting; Cold pitch (no pre existing relationship),"$0.20
/word",food 52,0.2,word
~750 word fob,Medium reporting; Cold pitch (no pre existing relationship),"$0.07
/word",food republic,0.07,word
490 word news story,Medium reporting; Ongoing/pre existing relationship with editor or publication,"$0.10
/word",foodbeast,0.1,word
1000 word feature,Medium reporting; Ongoing/pre existing relationship with editor or publication,"$0.20
/word",for her by aleteia,0.2,word
3000 word profile or interview,Heavy/Investigative reporting; Ongoing/pre existing relationship with editor or publication,"$2.00
/word",forbes,2.0,word
8000 word,,"$0.69
/word",foreign policy,0.69,word
1800 word feature,Heavy/Investigative reporting; Ongoing/pre existing relationship with editor or publication,"$0.38
/word",foreign policy,0.38,word
800 word news story,Heavy/Investigative reporting; Cold pitch (no pre existing relationship),"$0.38
/word",foreign policy,0.38,word
566 word feature,,"$0.37
/word",foreign policy,0.37,word
2000 word,,"$1.00
/word",foreign policy,1.0,word
"1500 word opinion, editorial, column or essay",Medium reporting; Ongoing/pre existing relationship with editor or publication,"$0.20
/word",foreign policy,0.2,word
~1500 word news story,Medium reporting; Ongoing/pre existing relationship with editor or publication,"$0.17
/word",foreign policy,0.17,word
~1500 word news story,Medium reporting; Cold pitch (no pre existing relationship),"$0.17
/word",foreign policy,0.17,word
~1500 word news story,Medium reporting; Solicited pitch (editor asked you to pitch),"$0.17
/word",foreign policy,0.17,word
1000 word feature,,"$0.20
/word",foreign policy,0.2,word
~1400 word,,"$0.18
/word",foreign policy,0.18,word
1814 word other,Submission/spec (piece was written prior and then submitted for publication),"$0.05
/word",forge literary magazine,0.05,word
3000 word feature,Medium reporting; Submission/spec (piece was written prior and then submitted for publication),"$0.02
/word",forge literary magazine,0.02,word
3000 word,,"$0.02
/word",forge literary magazine,0.02,word
1300 word,,"$0.04
/word",forge literary magazine,0.04,word
~750 word feature,Medium reporting; Ongoing/pre existing relationship with editor or publication,"$0.67
/word",fortunecom,0.67,word
"600 word opinion, editorial, column or essay",Medium reporting; Referral (you had a connection who connected you to the editor),"$0.05
/word",foss force,0.05,word
"~1500 word opinion, editorial, column or essay",Heavy/Investigative reporting; Cold pitch (no pre existing relationship),"$0.17
/word",fox news  travel,0.17,word
593 word feature,Medium reporting; Assignment (editor came to you),"$0.34
/word",free speech radio news,0.34,word
~750 word news story,Medium reporting; Cold pitch (no pre existing relationship),"$0.13
/word",freemuseorgglobal voices,0.13,word
"1000 word opinion, editorial, column or essay",Medium reporting; Assignment (editor came to you),"$0.40
/word",frieze,0.4,word
"1400 word opinion, editorial, column or essay",Medium reporting; Ongoing/pre existing relationship with editor or publication,"$0.31
/word",frieze,0.31,word
1500 word profile or interview,Medium reporting; Ongoing/pre existing relationship with editor or publication,"$0.24
/word",frieze,0.24,word
"1500 word criticism, review, or arts/entertainment coverage",Medium reporting; Referral (you had a connection who connected you to the editor),"$0.00
/word",full stop,0.0,word
"1800 word opinion, editorial, column or essay",Little to no reporting; Cold pitch (no pre existing relationship),"$0.00
/word",full stop,0.0,word
2800 word feature,Medium reporting; Submission/spec (piece was written prior and then submitted for publication),"$0.04
/word",full stop,0.04,word
"~1500 word criticism, review, or arts/entertainment converage",Little to no reporting; Submission/spec (piece was written prior and then submitted for publication),"$0.10
/word",full stop,0.1,word
"~3000 word criticism, review, or arts/entertainment converage",Little to no reporting; Solicited pitch (editor asked you to pitch),"$0.05
/word",full stop,0.05,word
"~750 word opinion, editorial, column or essay",Little to no reporting; Ongoing/pre existing relationship with editor or publication,"$0.08
/word",funny times,0.08,word
700 word,,"$0.36
/word",fusetv,0.36,word
1300 word feature,Medium reporting; Referral (you had a connection who connected you to the editor),"$0.38
/word",fusion,0.38,word
1200 word feature,Little to no reporting; Cold pitch (no pre existing relationship),"$0.29
/word",fusion,0.29,word
1000 word news story,Medium reporting; Referral (you had a connection who connected you to the editor),"$0.30
/word",fusion,0.3,word
6000 word feature,Heavy/Investigative reporting; Referral (you had a connection who connected you to the editor),"$0.25
/word",fusion,0.25,word
1400 word feature,Medium reporting; Ongoing/pre existing relationship with editor or publication,"$0.25
/word",fusion,0.25,word
1000 word profile or interview,Medium reporting; Cold pitch (no pre existing relationship),"$0.00
/word",galore,0.0,word
1500 word fiction,Submission/spec (piece was written prior and then submitted for publication),"$0.10
/word",gamut,0.1,word
135 word poetry,Little to no reporting; Referral (you had a connection who connected you to the editor),"$0.19
/word",gamut,0.19,word
3000 word fiction,Submission/spec (piece was written prior and then submitted for publication),"$0.10
/word",gamut,0.1,word
1100 word feature,Little to no reporting; Assignment (editor came to you),"$0.55
/word",garage vice,0.55,word
"~750 word opinion, editorial, column or essay",Little to no reporting; Cold pitch (no pre existing relationship),"$0.33
/word",gawker,0.33,word
"~750 word opinion, editorial, column or essay",Little to no reporting; Cold pitch (no pre existing relationship),"$0.33
/word",gawker,0.33,word
1500 word feature,,"$0.17
/word",gawker,0.17,word
~375 word news story,,"$1.07
/word",gawker,1.07,word
300 word,,"$1.33
/word",gawker,1.33,word
900 word other,Little to no reporting; Ongoing/pre existing relationship with editor or publication,"$0.05
/word",geek  sundry,0.05,word
910 word feature,Heavy/Investigative reporting; Solicited pitch (editor asked you to pitch),"$0.22
/word",geist magazine,0.22,word
"~3000 word criticism, review, or arts/entertainment converage",Little to no reporting; Cold pitch (no pre existing relationship),"$0.10
/word",getabstract,0.1,word
800 word,,"$0.19
/word",girlboss,0.19,word
600 word feature,Medium reporting; Referral (you had a connection who connected you to the editor),"$0.20
/word",girlboss,0.2,word
800 word fob,Medium reporting; Ongoing/pre existing relationship with editor or publication,"$0.00
/word",girls life,0.0,word
300 word fob,Medium reporting; Assignment (editor came to you),"$0.00
/word",girls life,0.0,word
1000 word feature,Little to no reporting; Ongoing/pre existing relationship with editor or publication,"$0.50
/word",girls life,0.5,word
~750 word fob,Little to no reporting; Cold pitch (no pre existing relationship),"$0.47
/word",girls life,0.47,word
~1500 word feature,Little to no reporting; Ongoing/pre existing relationship with editor or publication,"$0.33
/word",girls life,0.33,word
2000 word feature,Medium reporting; Cold pitch (no pre existing relationship),"$0.21
/word",gizmodo,0.21,word
3000 word feature,Medium reporting; Ongoing/pre existing relationship with editor or publication,"$0.13
/word",gizmodo,0.13,word
~750 word news story,Medium reporting; Ongoing/pre existing relationship with editor or publication,"$0.33
/word",gizmodo,0.33,word
"1300 word opinion, editorial, column or essay",Medium reporting; Assignment (editor came to you),"$0.31
/word",glamour,0.31,word
"1200 word opinion, editorial, column or essay",Medium reporting; Ongoing/pre existing relationship with editor or publication,"$0.17
/word",glamour,0.17,word
"1200 word opinion, editorial, column or essay",Medium reporting; Referral (you had a connection who connected you to the editor),"$0.23
/word",glamour,0.23,word
800 word feature,Medium reporting; Referral (you had a connection who connected you to the editor),"$0.25
/word",glamour,0.25,word
"~750 word opinion, editorial, column or essay",Little to no reporting; Ongoing/pre existing relationship with editor or publication,"$1.60
/word",glamour,1.6,word
"1000 word opinion, editorial, column or essay",,"$2.50
/word",glamour,2.5,word
"900 word opinion, editorial, column or essay",Little to no reporting; Cold pitch (no pre existing relationship),"$0.06
/word",global comment,0.06,word
~750 word news story,Medium reporting; Cold pitch (no pre existing relationship),"$0.33
/word",global post,0.33,word
~750 word news story,Medium reporting; Cold pitch (no pre existing relationship),"$0.27
/word",global post,0.27,word
800 word feature,,"$0.63
/word",global post,0.63,word
"1500 word opinion, editorial, column or essay",Medium reporting; Cold pitch (no pre existing relationship),"$0.03
/word",globalo,0.03,word
800 word blog post,Medium reporting; Cold pitch (no pre existing relationship),"$0.07
/word",globein blog,0.07,word
"~750 word opinion, editorial, column or essay",Medium reporting; Cold pitch (no pre existing relationship),"$0.05
/word",gloholiday,0.05,word
1000 word feature,Medium reporting; Cold pitch (no pre existing relationship),"$0.35
/word",gluten free living,0.35,word
~750 word news story,Medium reporting; Cold pitch (no pre existing relationship),"$0.13
/word",gnome magazine,0.13,word
1120 word feature,Heavy/Investigative reporting; Cold pitch (no pre existing relationship),"$0.03
/word",go world travel,0.03,word
1200 word feature,Little to no reporting; Cold pitch (no pre existing relationship),"$0.13
/word",good housekeeping,0.13,word
800 word,Little to no reporting; Ongoing/pre existing relationship with editor or publication,"$0.25
/word",good magazine,0.25,word
1200 word feature,Medium reporting; Cold pitch (no pre existing relationship),"$0.42
/word",good magazine,0.42,word
"1000 word opinion, editorial, column or essay",Little to no reporting; Solicited pitch (editor asked you to pitch),"$0.30
/word",good magazine,0.3,word
2000 word feature,Heavy/Investigative reporting; Ongoing/pre existing relationship with editor or publication,"$0.50
/word",good magazine,0.5,word
700 word news story,Medium reporting; Solicited pitch (editor asked you to pitch),"$0.00
/word",good magazine,0.0,word
~750 word news story,Medium reporting; Cold pitch (no pre existing relationship),"$0.67
/word",good magazine project literacy series,0.67,word
2000 word,,"$0.25
/word",gothamist,0.25,word
1100 word feature,Heavy/Investigative reporting; Ongoing/pre existing relationship with editor or publication,"$0.36
/word",gothamist,0.36,word
500 word blog post,Heavy/Investigative reporting; Ongoing/pre existing relationship with editor or publication,"$0.40
/word",gothamist,0.4,word
~1500 word news story,Medium reporting; Cold pitch (no pre existing relationship),"$0.13
/word",gothamist,0.13,word
"1712 word opinion, editorial, column or essay",Heavy/Investigative reporting; Ongoing/pre existing relationship with editor or publication,"$0.18
/word",gq,0.18,word
750 word news story,Heavy/Investigative reporting; Ongoing/pre existing relationship with editor or publication,"$0.33
/word",gq,0.33,word
500 word news story,Little to no reporting; Cold pitch (no pre existing relationship),"$0.20
/word",gq,0.2,word
200 word fob,Medium reporting; Assignment (editor came to you),"$2.00
/word",gq,2.0,word
400 word,,"$2.00
/word",gq,2.0,word
1275 word,,"$0.06
/word",gradient,0.06,word
800 word,,"$0.03
/word",grammarly blog,0.03,word
1800 word,,"$0.33
/word",granta,0.33,word
4000 word feature,,"$0.25
/word",grantland,0.25,word
1000 word blog post,,"$0.25
/word",grantland,0.25,word
1100 word blog post,Little to no reporting; Cold pitch (no pre existing relationship),"$0.11
/word",greatist,0.11,word
"1000 word opinion, editorial, column or essay",Little to no reporting; Cold pitch (no pre existing relationship),"$0.20
/word",greatist,0.2,word
1000 word feature,Little to no reporting; Cold pitch (no pre existing relationship),"$0.11
/word",green parent,0.11,word
~3000 word feature,Little to no reporting; Assignment (editor came to you),"$0.05
/word",green parent,0.05,word
~750 word news story,Medium reporting; Submission/spec (piece was written prior and then submitted for publication),"$0.13
/word",greentech media,0.13,word
~125 word news story,Little to no reporting; Ongoing/pre existing relationship with editor or publication,"$0.24
/word",grist,0.24,word
~750 word news story,Medium reporting,"$0.27
/word",grist,0.27,word
884 word blog post,Little to no reporting; Cold pitch (no pre existing relationship),"$0.11
/word",groknation,0.11,word
1000 word other,Little to no reporting; Assignment (editor came to you),"$0.45
/word",guardian labs,0.45,word
700 word,,"$0.29
/word",guidepostsorg,0.29,word
"~750 word opinion, editorial, column or essay",Little to no reporting; Ongoing/pre existing relationship with editor or publication,"$0.27
/word",guidepostsorg,0.27,word
"2500 word criticism, review, or arts/entertainment coverage",Medium reporting; Assignment (editor came to you),"$0.20
/word",gulf coast magazine,0.2,word
1000 word profile or interview,Little to no reporting; Cold pitch (no pre existing relationship),"$0.05
/word",guts canadian feminist magazine,0.05,word
1000 word,Medium reporting; Referral (you had a connection who connected you to the editor),"$0.03
/word",guts canadian feminist magazine,0.03,word
~1500 word news story,Medium reporting; Cold pitch (no pre existing relationship),"$0.03
/word",guts canadian feminist magazine,0.03,word
500 word news story,Medium reporting; Ongoing/pre existing relationship with editor or publication,"$0.60
/word",hakai magazine,0.6,word
"620 word opinion, editorial, column or essay",Cold pitch (no pre existing relationship),"$0.60
/word",hakai magazine,0.6,word
"350 word criticism, review, or arts/entertainment coverage",Medium reporting; Cold pitch (no pre existing relationship),"$0.57
/word",hakai magazine,0.57,word
"~750 word opinion, editorial, column or essay",Little to no reporting; Cold pitch (no pre existing relationship),"$0.80
/word",happenmagcom,0.8,word
800 word blog post,Little to no reporting; Assignment (editor came to you),"$0.04
/word",harlem bee,0.04,word
5000 word feature,Medium reporting; Ongoing/pre existing relationship with editor or publication,"$1.00
/word",harpers,1.0,word
2000 word blog post,Heavy/Investigative reporting; Cold pitch (no pre existing relationship),"$0.25
/word",harpers,0.25,word
750 word,,"$0.08
/word",hartford courant,0.08,word
"800 word opinion, editorial, column or essay",Medium reporting; Cold pitch (no pre existing relationship),"$0.63
/word",harvard magazine,0.63,word
1200 word feature,Medium reporting; Referral (you had a connection who connected you to the editor),"$0.35
/word",hawaii building industry,0.35,word
"1900 word opinion, editorial, column or essay",Little to no reporting; Cold pitch (no pre existing relationship),"$0.13
/word",hazlitt,0.13,word
3300 word feature,Little to no reporting; Cold pitch (no pre existing relationship),"$0.24
/word",hazlitt,0.24,word
2500 word feature,Medium reporting; Ongoing/pre existing relationship with editor or publication,"$0.25
/word",hazlitt,0.25,word
2150 word feature,Little to no reporting; Cold pitch (no pre existing relationship),"$0.28
/word",hazlitt,0.28,word
750 word feature,Medium reporting; Cold pitch (no pre existing relationship),"$0.33
/word",headspace,0.33,word
806 word blog post,Little to no reporting; Cold pitch (no pre existing relationship),"$0.31
/word",headspace,0.31,word
800 word feature,Little to no reporting; Ongoing/pre existing relationship with editor or publication,"$0.01
/word",headstufforg,0.01,word
800 word feature,Medium reporting; Cold pitch (no pre existing relationship),"$0.00
/word",healing lifestyles  spas,0.0,word
500 word news story,Medium reporting; Ongoing/pre existing relationship with editor or publication,"$0.13
/word",healio,0.13,word
1000 word news story,Heavy/Investigative reporting; Referral (you had a connection who connected you to the editor),"$0.05
/word",healthline,0.05,word
1000 word feature,Medium reporting; Cold pitch (no pre existing relationship),"$0.20
/word",healthline,0.2,word
1069 word other,Medium reporting; Ongoing/pre existing relationship with editor or publication,"$0.11
/word",healthline,0.11,word
800 word blog post,Little to no reporting; Ongoing/pre existing relationship with editor or publication,"$0.03
/word",healthyplace,0.03,word
"1200 word opinion, editorial, column or essay",Medium reporting; Cold pitch (no pre existing relationship),"$0.08
/word",hello giggles,0.08,word
"1200 word opinion, editorial, column or essay",Medium reporting; Cold pitch (no pre existing relationship),"$0.08
/word",hello giggles,0.08,word
"1200 word opinion, editorial, column or essay",Medium reporting; Cold pitch (no pre existing relationship),"$0.08
/word",hello giggles,0.08,word
800 word feature,Medium reporting; Cold pitch (no pre existing relationship),"$0.05
/word",hello giggles,0.05,word
715 word news story,Little to no reporting; Cold pitch (no pre existing relationship),"$0.06
/word",hello giggles,0.06,word
500 word feature,Medium reporting; Assignment (editor came to you),"$0.06
/word",hello giggles,0.06,word
1200 word feature,Little to no reporting; Cold pitch (no pre existing relationship),"$0.04
/word",hello giggles,0.04,word
"600 word opinion, editorial, column or essay",Little to no reporting; Ongoing/pre existing relationship with editor or publication,"$0.07
/word",hello giggles,0.07,word
250 word news story,Little to no reporting; Ongoing/pre existing relationship with editor or publication,"$0.10
/word",hello giggles,0.1,word
800 word,,"$0.05
/word",hello giggles,0.05,word
615 word,,"$0.07
/word",hello giggles,0.07,word
"700 word opinion, editorial, column or essay",Little to no reporting; Cold pitch (no pre existing relationship),"$0.06
/word",hello giggles,0.06,word
"1227 word opinion, editorial, column or essay",Little to no reporting; Ongoing/pre existing relationship with editor or publication,"$0.02
/word",hello giggles,0.02,word
"1657 word opinion, editorial, column or essay",Little to no reporting; Ongoing/pre existing relationship with editor or publication,"$0.02
/word",hello giggles,0.02,word
"1130 word opinion, editorial, column or essay",Medium reporting; Ongoing/pre existing relationship with editor or publication,"$0.02
/word",hello giggles,0.02,word
"813 word opinion, editorial, column or essay",Little to no reporting; Ongoing/pre existing relationship with editor or publication,"$0.03
/word",hello giggles,0.03,word
"1186 word opinion, editorial, column or essay",Little to no reporting; Ongoing/pre existing relationship with editor or publication,"$0.02
/word",hello giggles,0.02,word
1032 word,,"$0.02
/word",hello giggles,0.02,word
"600 word opinion, editorial, column or essay",Little to no reporting; Referral (you had a connection who connected you to the editor),"$0.04
/word",hello giggles,0.04,word
"1120 word opinion, editorial, column or essay",Little to no reporting; Cold pitch (no pre existing relationship),"$0.02
/word",hello giggles,0.02,word
"~375 word opinion, editorial, column or essay",Medium reporting; Ongoing/pre existing relationship with editor or publication,"$0.07
/word",hello giggles,0.07,word
"~750 word opinion, editorial, column or essay",Little to no reporting; Ongoing/pre existing relationship with editor or publication,"$0.03
/word",hello giggles,0.03,word
"600 word opinion, editorial, column or essay",Medium reporting; Ongoing/pre existing relationship with editor or publication,"$0.08
/word",helloflo,0.08,word
2000 word feature,Heavy/Investigative reporting; Ongoing/pre existing relationship with editor or publication,"$0.21
/word",herizons,0.21,word
"2200 word criticism, review, or arts/entertainment coverage",Medium reporting; Cold pitch (no pre existing relationship),"$0.01
/word",heterotopias,0.01,word
~1500 word feature,Medium reporting,"$0.22
/word",hidden europe magazine,0.22,word
1700 word,,"$0.08
/word",high snobiety,0.08,word
"1200 word criticism, review, or arts/entertainment coverage",Little to no reporting; Solicited pitch (editor asked you to pitch),"$0.15
/word",high snobiety,0.15,word
"750 word opinion, editorial, column or essay",Medium reporting; Referral (you had a connection who connected you to the editor),"$0.40
/word",high times,0.4,word
100000 word other,Little to no reporting; Other,"$0.04
/word",highend media  gatehouse publishing,0.04,word
2000 word feature,Medium reporting; Assignment (editor came to you),"$0.20
/word",hinduism today,0.2,word
300 word blog post,Little to no reporting; Ongoing/pre existing relationship with editor or publication,"$0.08
/word",hollywoods black renaissance,0.08,word
"500 word opinion, editorial, column or essay",Little to no reporting; Cold pitch (no pre existing relationship),"$0.07
/word",hollywoods black renaissance,0.07,word
500 word blog post,Medium reporting; Cold pitch (no pre existing relationship),"$0.14
/word",hollywoods black renaissance,0.14,word
1300 word feature,Little to no reporting; Cold pitch (no pre existing relationship),"$0.35
/word",hollywoods black renaissance,0.35,word
500 word feature,Medium reporting; Ongoing/pre existing relationship with editor or publication,"$0.45
/word",hollywoods black renaissance,0.45,word
700 word news story,,"$0.00
/word",home business magazine,0.0,word
1000 word blog post,Medium reporting; Assignment (editor came to you),"$0.38
/word",homelight,0.38,word
600 word blog post,Little to no reporting; Ongoing/pre existing relationship with editor or publication,"$0.02
/word",homify,0.02,word
700 word feature,Heavy/Investigative reporting; Ongoing/pre existing relationship with editor or publication,"$0.05
/word",honey colony,0.05,word
200 word news story,Medium reporting; Ongoing/pre existing relationship with editor or publication,"$0.25
/word",hoodline,0.25,word
~750 word fiction,Little to no reporting; Ongoing/pre existing relationship with editor or publication,"$0.27
/word",hooked telepathictv,0.27,word
~1500 word profile or interview,,"$0.11
/word",hopes and fears,0.11,word
"750 word criticism, review, or arts/entertainment coverage",Medium reporting; Ongoing/pre existing relationship with editor or publication,"$0.10
/word",hotnewhiphop,0.1,word
850 word blog post,Little to no reporting; Cold pitch (no pre existing relationship),"$0.03
/word",housetipster,0.03,word
729 word fob,Little to no reporting; Cold pitch (no pre existing relationship),"$0.34
/word",how magazine,0.34,word
627 word fob,Medium reporting; Ongoing/pre existing relationship with editor or publication,"$0.40
/word",how magazine,0.4,word
1200 word feature,Medium reporting; Cold pitch (no pre existing relationship),"$0.21
/word",hr dive,0.21,word
~375 word fob,Little to no reporting; Cold pitch (no pre existing relationship),"$0.11
/word",httpwwwcuratedquotescom,0.11,word
700 word news story,Medium reporting; Cold pitch (no pre existing relationship),"$0.14
/word",huck magazine,0.14,word
3500 word,,"$0.14
/word",huck magazine,0.14,word
1700 word profile or interview,Cold pitch (no pre existing relationship),"$0.07
/word",huck magazine,0.07,word
"~750 word criticism, review, or arts/entertainment converage",Medium reporting; Assignment (editor came to you),"$0.07
/word",hudson reporter,0.07,word
"1024 word opinion, editorial, column or essay",Medium reporting; Cold pitch (no pre existing relationship),"$0.12
/word",huffington post,0.12,word
1000 word blog post,,"$0.00
/word",huffington post,0.0,word
614 word blog post,Medium reporting; Cold pitch (no pre existing relationship),"$0.00
/word",huffington post,0.0,word
1000 word,,"$0.20
/word",huffpost,0.2,word
661 word poetry,Little to no reporting; Solicited pitch (editor asked you to pitch),"$0.08
/word",human parts medium now defunct,0.08,word
1600 word blog post,Little to no reporting; Assignment (editor came to you),"$0.04
/word",hunting mark,0.04,word
~1500 word profile or interview,Medium reporting; Solicited pitch (editor asked you to pitch),"$0.80
/word",hustler magazine,0.8,word
"750 word criticism, review, or arts/entertainment coverage",Little to no reporting; Ongoing/pre existing relationship with editor or publication,"$0.13
/word",hyperallergic,0.13,word
"1000 word opinion, editorial, column or essay",Little to no reporting; Referral (you had a connection who connected you to the editor),"$0.10
/word",hyperallergic,0.1,word
"1000 word criticism, review, or arts/entertainment coverage",Medium reporting; Referral (you had a connection who connected you to the editor),"$0.10
/word",hyperallergic,0.1,word
"500 word criticism, review, or arts/entertainment coverage",Medium reporting; Ongoing/pre existing relationship with editor or publication,"$0.15
/word",hyperallergic,0.15,word
~1500 word news story,Medium reporting; Ongoing/pre existing relationship with editor or publication,"$0.05
/word",hyperallergic,0.05,word
~1500 word news story,Medium reporting; Ongoing/pre existing relationship with editor or publication,"$0.05
/word",hyperallergic,0.05,word
~750 word news story,Medium reporting; Assignment (editor came to you),"$0.33
/word",id vice,0.33,word
~1500 word news story,Medium reporting,"$0.25
/word",id vice,0.25,word
1000 word feature,Medium reporting; Ongoing/pre existing relationship with editor or publication,"$0.20
/word",ign,0.2,word
"~5000 word opinion, editorial, column or essay",Little to no reporting; Cold pitch (no pre existing relationship),"$0.02
/word",image,0.02,word
~750 word fob,Medium reporting; Ongoing/pre existing relationship with editor or publication,"$0.27
/word",impact,0.27,word
400 word,,"$0.15
/word",impose,0.15,word
~3000 word profile or interview,Medium reporting; See below,"$0.01
/word",impose,0.01,word
2041 word news story,Heavy/Investigative reporting; Ongoing/pre existing relationship with editor or publication,"$0.10
/word",in these times,0.1,word
"955 word opinion, editorial, column or essay",,"$0.21
/word",in these times,0.21,word
1200 word,,"$0.25
/word",in these times,0.25,word
700 word news story,Medium reporting; Cold pitch (no pre existing relationship),"$0.25
/word",in these times,0.25,word
"~750 word opinion, editorial, column or essay",Little to no reporting; Ongoing/pre existing relationship with editor or publication,"$0.17
/word",in these times,0.17,word
